Date,Time,Away,Away_Record,Away_Conf,Away_SOS,Away_IPR,Home,Home_Record,Home_Conf,Home_SOS,Home_IPR,Home_Spread,Away_Spread,Total,Proj_Winner,Proj_Margin,Proj_Total,Diff_Total,Diff_Spread,ATS_Pick,Total_Pick
2024-11-12,7:00 PM,Ball State,3-6,MAC,85,24.5,Buffalo,5-4,MAC,116,26.5,-6.5,6.5,52.5,Buffalo,5.4,55.09,2.5900000000000034,-1.0999999999999996,Ball State,Over
2024-11-12,7:00 PM,Western Michigan,5-4,MAC,114,31,Bowling Green,5-4,MAC,110,38.5,-8.5,8.5,57.5,Bowling Green,4.97,57.22,-0.28000000000000114,-3.5300000000000002,Western Michigan,Under
2024-11-12,7:00 PM,Central Michigan,3-6,MAC,123,23,Toledo,6-3,MAC,113,35.5,-14.5,14.5,49.5,Toledo,13.57,55.03,5.530000000000001,-0.9299999999999997,Central Michigan,Over
2024-11-13,7:00 PM,Akron,2-7,MAC,76,23,Northern Illinois,5-4,MAC,112,38.5,-16.5,16.5,46.5,Northern Illinois,13,50.32,3.8200000000000003,-3.5,Akron,Over
2024-11-13,7:00 PM,Eastern Michigan,5-4,MAC,136,26.5,Ohio,6-3,MAC,128,37,-8.5,8.5,48.5,Ohio,7.74,55.57,7.07,-0.7599999999999998,Eastern Michigan,Over
2024-11-13,7:00 PM,Kent State,0-9,MAC,81,10,Miami OH,5-4,MAC,91,40,-30.5,30.5,45.5,Miami OH,17.96,51.07,5.57,-12.54,Kent State,Over
2024-11-14,7:30 PM,East Carolina,5-4,AAC,125,35,Tulsa,3-6,AAC,132,18,13.5,-13.5,61.5,East Carolina,9.9,60.78,-0.7199999999999989,-3.5999999999999996,Tulsa,Under
2024-11-15,8:00 PM,Wyoming,2-7,MW,89,25.5,Colorado State,6-3,MW,98,35.5,-9.5,9.5,47.5,Colorado State,11.68,53.79,6.289999999999999,2.1799999999999997,Colorado State,Over
2024-11-15,8:00 PM,North Texas,5-4,AAC,94,40,UTSA,4-5,AAC,111,32.5,1.5,-1.5,71.5,North Texas,4.76,66.22,-5.280000000000001,3.26,North Texas,Under
2024-11-15,9:00 PM,UCLA,4-5,BIG10,1,51.5,Washington,5-5,BIG10,30,54.5,-3.5,3.5,45.5,Washington,1.56,45.43,-0.07000000000000028,-1.94,UCLA,Under
2024-11-15,10:15 PM,Houston,4-5,BIG12,9,48,Arizona,3-6,BIG12,31,46.5,-2.5,2.5,44.5,Houston,2.58,50.16,5.659999999999997,5.08,Houston,Over
2024-11-16,12:00 PM,Texas,8-1,SEC,35,74,Arkansas,5-4,SEC,49,55,16.5,-16.5,56.5,Texas,12.31,49.77,-6.729999999999997,-4.1899999999999995,Arkansas,Under
2024-11-16,12:00 PM,Clemson,7-2,ACC,44,64,Pittsburgh,7-2,ACC,69,51.5,9.5,-9.5,55.5,Clemson,1.86,59.84,4.340000000000003,-7.64,Pittsburgh,Over
2024-11-16,12:00 PM,Utah,4-5,BIG12,55,54.5,Colorado,7-2,BIG12,21,61.5,-10.5,10.5,47.5,Colorado,13.68,51.32,3.8200000000000003,3.1799999999999997,Colorado,Over
2024-11-16,12:00 PM,Liberty,6-2,C-USA,153,36.5,UMASS,2-7,Independents,122,20.5,13.5,-13.5,53.5,Liberty,6.63,53.7,0.20000000000000284,-6.87,UMASS,Over
2024-11-16,12:00 PM,Louisiana Tech,3-6,C-USA,137,26,Western Kentucky,7-2,C-USA,121,38,-13.5,13.5,53.5,Western Kentucky,17.58,51.45,-2.049999999999997,4.079999999999998,Western Kentucky,Under
2024-11-16,12:00 PM,Tulane,8-2,AAC,92,55,Navy,7-2,AAC,115,43,6.5,-6.5,54.5,Tulane,1.83,58.24,3.740000000000002,-4.67,Navy,Over
2024-11-16,12:00 PM,Ohio State,8-1,BIG10,41,74.5,Northwestern,4-5,BIG10,51,42.5,30.5,-30.5,44.5,Ohio State,18.44,42.53,-1.9699999999999989,-12.059999999999999,Northwestern,Under
2024-11-16,12:45 PM,Louisiana-Monroe,5-4,Sun Belt,84,31,Auburn,3-6,SEC,34,55,-23.5,23.5,46.5,Auburn,13.23,47.19,0.6899999999999977,-10.27,Louisiana-Monroe,Over
2024-11-16,1:00 PM,Coastal Carolina,5-4,Sun Belt,97,35.5,Marshall,6-3,Sun Belt,90,44,-8.5,8.5,55.5,Marshall,5.92,59.55,4.049999999999997,-2.58,Coastal Carolina,Over
2024-11-16,2:00 PM,Florida Atlantic,2-7,AAC,107,22.5,Temple,2-7,AAC,72,23,-2.5,2.5,49.5,Temple,2.69,57.69,8.189999999999998,0.18999999999999995,Temple,Over
2024-11-16,2:00 PM,FIU,3-6,C-USA,124,28,Jacksonville State,6-3,C-USA,130,38.5,-13.5,13.5,57.5,Jacksonville State,7.68,55.6,-1.8999999999999986,-5.82,FIU,Under
2024-11-16,2:30 PM,Michigan State,4-5,BIG10,24,49.5,Illinois,6-3,BIG10,53,49.5,-3.5,3.5,47.5,Illinois,5.11,46.48,-1.0200000000000031,1.6100000000000003,Illinois,Under
2024-11-16,3:00 PM,Syracuse,6-3,ACC,66,48.5,California,5-4,ACC,61,54,-7.5,7.5,55.5,California,1.3,57.66,2.1599999999999966,-6.2,Syracuse,Over
2024-11-16,3:00 PM,Hawaii,4-6,MW,103,34,Utah State,2-7,MW,80,28.5,2.5,-2.5,58.5,Hawaii,7.15,59.88,1.3800000000000026,4.65,Hawaii,Over
2024-11-16,3:00 PM,Sam Houston State,7-2,C-USA,108,34.5,Kennesaw State,1-8,C-USA,105,16.5,13.5,-13.5,41.5,Sam Houston State,14.65,51.09,9.590000000000003,1.1500000000000004,Sam Houston State,Over
2024-11-16,3:30 PM,Oregon State,4-5,PAC12,75,36,Air Force,2-7,MW,101,26,4.5,-4.5,45.5,Oregon State,13.2,55.75,10.25,8.7,Oregon State,Over
2024-11-16,3:30 PM,Boston College,5-4,ACC,52,50.5,SMU,8-1,ACC,63,64,-16.5,16.5,53.5,SMU,13.68,59.17,5.670000000000002,-2.8200000000000003,Boston College,Over
2024-11-16,3:30 PM,South Florida,4-5,AAC,79,35.5,Charlotte,3-6,AAC,60,32.5,3.5,-3.5,52.5,Charlotte,1.51,56.57,4.07,5.01,Charlotte,Over
2024-11-16,3:30 PM,LSU,6-3,SEC,7,62.5,Florida,4-5,SEC,3,57,4.5,-4.5,55.5,LSU,5.2,54.27,-1.2299999999999969,0.7000000000000002,LSU,Under
2024-11-16,3:30 PM,Tennessee,8-1,SEC,54,70,Georgia,7-2,SEC,2,72,-8.5,8.5,48.5,Georgia,3.71,46.11,-2.3900000000000006,-4.79,Tennessee,Under
2024-11-16,3:30 PM,Louisville,6-3,ACC,11,63,Stanford,2-7,ACC,20,36,19.5,-19.5,57.5,Louisville,17.73,58.72,1.2199999999999989,-1.7699999999999996,Stanford,Over
2024-11-16,3:30 PM,Virginia,5-4,ACC,48,47.5,Notre Dame,8-1,Independents,56,72,-22.5,22.5,50.5,Notre Dame,15.24,51.72,1.2199999999999989,-7.26,Virginia,Over
2024-11-16,3:30 PM,Penn State,8-1,BIG10,32,69,Purdue,1-8,BIG10,17,37.5,28.5,-28.5,50.5,Penn State,23.2,46.29,-4.210000000000001,-5.300000000000001,Purdue,Under
2024-11-16,4:00 PM,Baylor,5-4,BIG12,36,56,West Virginia,5-4,BIG12,29,53.5,1.5,-1.5,59.5,West Virginia,0.7,61.56,2.0600000000000023,2.2,West Virginia,Over
2024-11-16,4:00 PM,Troy,2-7,Sun Belt,96,31,Georgia Southern,6-3,Sun Belt,65,40.5,-7.5,7.5,54.5,Georgia Southern,13.75,57.51,3.009999999999998,6.25,Georgia Southern,Over
2024-11-16,4:00 PM,James Madison,7-2,Sun Belt,133,45.5,Old Dominion,4-5,Sun Belt,67,40.5,4.5,-4.5,52.5,James Madison,5.77,53.39,0.8900000000000006,1.2699999999999996,James Madison,Over
2024-11-16,4:00 PM,Nebraska,5-4,BIG10,43,51.5,USC,4-5,BIG10,14,59.5,-8.5,8.5,50.5,USC,2.51,46.15,-4.350000000000001,-5.99,Nebraska,Under
2024-11-16,4:15 PM,Missouri,7-2,SEC,62,56,South Carolina,6-3,SEC,6,64.5,-13.5,13.5,43.5,South Carolina,9.09,46.16,2.6599999999999966,-4.41,Missouri,Over
2024-11-16,5:00 PM,Arkansas State,5-4,Sun Belt,86,31,Georgia State,2-7,Sun Belt,71,30.5,-1.5,1.5,58.5,Arkansas State,0.55,56.64,-1.8599999999999994,2.05,Arkansas State,Under
2024-11-16,6:00 PM,Rutgers,5-4,BIG10,58,47,Maryland,4-5,BIG10,26,49,-4.5,4.5,49.5,Maryland,0.73,51.91,2.4099999999999966,-3.77,Rutgers,Over
2024-11-16,7:00 PM,Arizona State,7-2,BIG12,37,56.5,Kansas State,7-2,BIG12,22,61.5,-8.5,8.5,50.5,Kansas State,6.49,56.88,6.380000000000003,-2.01,Arizona State,Over
2024-11-16,7:00 PM,Boise State,8-1,MW,82,59,San Jose State,6-3,MW,119,35.5,13.5,-13.5,61.5,Boise State,13.43,62.29,0.7899999999999991,-0.07000000000000028,San Jose State,Over
2024-11-16,7:00 PM,South Alabama,4-5,Sun Belt,118,38.5,Louisiana,8-1,Sun Belt,126,45,-8.5,8.5,59.5,Louisiana,9.87,57.09,-2.4099999999999966,1.3699999999999992,Louisiana,Under
2024-11-16,7:00 PM,Southern Mississippi,1-8,Sun Belt,83,21,Texas State,5-4,Sun Belt,102,45.5,-27.5,27.5,55.5,Texas State,23.32,54.39,-1.1099999999999994,-4.18,Southern Mississippi,Under
2024-11-16,7:30 PM,Oregon,10-0,BIG10,38,74.5,Wisconsin,5-4,BIG10,18,55,14.5,-14.5,52.5,Oregon,14.19,47.03,-5.469999999999999,-0.3100000000000005,Wisconsin,Under
2024-11-16,7:45 PM,New Mexico State,2-7,C-USA,109,17.5,Texas A&M,7-2,SEC,16,63,-40.5,40.5,54.5,Texas A&M,42.51,54.23,-0.2700000000000031,2.009999999999998,Texas A&M,Under
2024-11-16,8:00 PM,Cincinnati,5-4,BIG12,46,51.5,Iowa State,7-2,BIG12,42,59,-7.5,7.5,52.5,Iowa State,5.3,53.96,1.4600000000000009,-2.2,Cincinnati,Over
2024-11-16,8:00 PM,UAB,2-7,AAC,93,26.5,Memphis,8-2,AAC,117,40.5,-15.5,15.5,62.5,Memphis,14.99,62.21,-0.28999999999999915,-0.5099999999999998,UAB,Under
2024-11-16,8:00 PM,Wake Forest,4-5,ACC,70,41,North Carolina,5-4,ACC,68,52,-10.5,10.5,63.5,North Carolina,8.75,63.6,0.10000000000000142,-1.75,Wake Forest,Over
2024-11-16,9:30 PM,Washington State,8-1,PAC12,87,50.5,New Mexico,4-6,MW,100,31,13.5,-13.5,72.5,Washington State,22.59,70.6,-1.9000000000000057,9.09,Washington State,Under
2024-11-16,10:15 PM,Kansas,3-6,BIG12,23,57,BYU,9-0,BIG12,47,59.5,-3.5,3.5,55.5,BYU,13.35,58.55,3.049999999999997,9.85,BYU,Over
2024-11-16,10:30 PM,San Diego State,3-6,MW,104,27.5,UNLV,7-2,MW,78,51,-19.5,19.5,54.5,UNLV,18.63,56.49,1.990000000000002,-0.870000000000001,San Diego State,Over
